time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-17T14:14:02.477Z,-24.2733,179.8846,508.147,4.8,mb,49,84,5.323,0.9,us,us7000nsac,2024-11-17T14:32:03.040Z,"south of the Fiji Islands",earthquake,12.69,8.306,0.053,110,reviewed,us,us
2024-11-17T12:16:29.918Z,29.0501,131.3955,8,6.1,mww,130,32,2.583,0.91,us,us7000nsa3,2024-11-17T14:26:18.498Z,"155 km SSE of Koshima, Japan",earthquake,3.1,1.823,0.041,56,reviewed,us,us
2024-11-17T04:26:44.997Z,0.7206,126.0453,50.65,4.9,mb,44,60,1.322,1.01,us,us7000ns8i,2024-11-17T04:45:59.040Z,"129 km SE of Bitung, Indonesia",earthquake,8.21,7.932,0.081,50,reviewed,us,us
2024-11-17T04:14:37.923Z,-24.2382,-179.9814,510.613,4.5,mb,42,77,5.313,1.14,us,us7000ns8g,2024-11-17T04:31:09.040Z,"south of the Fiji Islands",earthquake,13.5,8.652,0.078,51,reviewed,us,us
2024-11-16T18:35:15.986Z,-0.188,99.4138,92.465,4.7,mb,27,176,4.849,0.34,us,us7000ns6v,2024-11-16T18:53:25.040Z,"91 km WNW of Pariaman, Indonesia",earthquake,4.81,8.854,0.137,17,reviewed,us,us
2024-11-16T16:39:14.943Z,-17.5694,-178.8863,537.193,4.5,mb,52,71,1.99,0.99,us,us7000ns6k,2024-11-16T16:54:17.040Z,"198 km ENE of Levuka, Fiji",earthquake,12.74,8.337,0.04,185,reviewed,us,us
2024-11-16T15:44:02.956Z,-14.8942,167.2523,157.75,4.8,mb,37,82,6.295,0.86,us,us7000ns6f,2024-11-16T15:59:29.040Z,"25 km NE of Port-Olry, Vanuatu",earthquake,4.22,8.179,0.103,29,reviewed,us,us
2024-11-16T15:28:40.149Z,1.4045,98.3457,88.978,4.7,mb,38,179,4.047,0.84,us,us7000ns6d,2024-11-16T15:52:36.040Z,"61 km SW of Sibolga, Indonesia",earthquake,10.15,8.732,0.079,49,reviewed,us,us
2024-11-16T14:15:52.519Z,-23.1842,-67.9562,145.462,4.5,mb,28,116,0.309,1,us,us7000ns64,2024-11-16T15:26:48.040Z,"39 km SE of San Pedro de Atacama, Chile",earthquake,8.61,10.442,0.192,8,reviewed,us,us
2024-11-16T13:47:36.626Z,53.208,159.7802,60.216,5.1,mb,88,77,0.706,0.92,us,us7000ns62,2024-11-16T14:33:50.313Z,"78 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,9.24,6.26,0.031,334,reviewed,us,us
2024-11-16T12:22:17.713Z,41.0115,140.9548,11.86,5,mb,81,101,0.237,0.71,us,us7000ns5p,2024-11-16T23:56:33.827Z,"10 km N of Hiranai, Japan",earthquake,7,3.622,0.032,308,reviewed,us,us
2024-11-16T11:58:33.679Z,-5.2916,151.3228,105.108,4.9,mb,42,67,1.377,0.96,us,us7000ns5m,2024-11-16T12:31:49.400Z,"134 km ENE of Kimbe, Papua New Guinea",earthquake,8.79,7.054,0.095,35,reviewed,us,us
2024-11-16T09:50:16.497Z,17.7545,-61.5279,29.485,4.8,mb,62,56,0.26,0.59,us,us7000ns58,2024-11-16T10:13:06.040Z,"33 km ENE of Codrington, Antigua and Barbuda",earthquake,6.71,5.019,0.051,119,reviewed,us,us
2024-11-16T09:48:47.446Z,17.7965,-61.4635,24.14,4.5,mb,48,89,0.332,0.45,us,us7000ns57,2024-11-16T11:04:43.040Z,"42 km ENE of Codrington, Antigua and Barbuda",earthquake,5.49,3.823,0.093,34,reviewed,us,us
2024-11-16T08:22:26.677Z,-12.2641,166.617,121.078,5.4,mww,100,29,7.127,0.98,us,us7000ns4s,2024-11-17T08:25:08.593Z,"192 km SSE of Lata, Solomon Islands",earthquake,9.38,5.009,0.066,22,reviewed,us,us
2024-11-16T07:03:06.784Z,14.2491,-93.0933,10,4.9,mww,98,152,1.599,1.1,us,us7000ns4l,2024-11-16T14:30:58.040Z,"89 km SW of Puerto Madero, Mexico",earthquake,6.69,1.898,0.051,37,reviewed,us,us
2024-11-16T03:51:18.136Z,-19.0652,-177.6121,535.155,4.6,mb,32,133,3.859,0.76,us,us7000ns3y,2024-11-16T04:15:10.040Z,"Fiji region",earthquake,15.74,10.026,0.122,22,reviewed,us,us
2024-11-16T02:17:09.474Z,-15.2823,-13.2696,10,5.2,mb,53,66,7.28,0.7,us,us7000ns3m,2024-11-16T02:36:28.040Z,"southern Mid-Atlantic Ridge",earthquake,11.39,1.867,0.073,61,reviewed,us,us
2024-11-15T23:05:39.762Z,-19.1981,-173.5631,118.909,4.9,mb,29,93,3.439,0.87,us,us7000ns3a,2024-11-15T23:25:21.040Z,"74 km SE of Neiafu, Tonga",earthquake,11.95,11.191,0.125,20,reviewed,us,us
2024-11-15T21:11:50.702Z,17.788,-61.4744,33.348,4.9,mb,54,93,1.306,0.83,us,us7000ns2h,2024-11-15T22:37:51.118Z,"40 km ENE of Codrington, Antigua and Barbuda",earthquake,7.12,4.799,0.043,174,reviewed,us,us
2024-11-15T18:03:43.767Z,-4.5193,153.4229,118.965,4.6,mb,84,100,1.297,0.74,us,us7000ns1x,2024-11-15T20:18:25.040Z,"New Ireland region, Papua New Guinea",earthquake,10.17,6.427,0.064,81,reviewed,us,us
